dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
NEON,Harvard Forest,HARV,-72.17265999999995,42.53690000000006,NA,NA,164.08071920201135,37.92121124267578,NA,114.92280578613284,NA
NEON,Smithsonian Conservation Biology Institute,SCBI,-78.13949999999994,38.89292000000006,NA,NA,334.2797546386719,115.21283721923828,NA,106.78276824951169,NA
NEON,Ordway-Swisher Biological Station,OSBS,-81.99342999999999,29.68927000000008,NA,NA,63.37915526990175,69.8902869866861,NA,42.73400115966798,NA
NEON,Guanica Forest,GUAN,-66.86869999999993,17.96955000000003,NA,NA,NA,NA,NA,NA,NA
NEON,UNDERC,UNDE,-89.53724999999997,46.23388000000006,NA,NA,155.06964287223695,139.33177185058594,NA,91.69925689697257,NA
NEON,Konza Prairie Biological Station,KONZ,-96.56308999999999,39.10077000000007,NA,NA,7.4775508168800116,10.838811874389648,NA,10.13510704040527,NA
NEON,Oak Ridge,ORNL,-84.28259999999995,35.96412000000004,NA,NA,162.48270185368082,91.84534454345703,NA,115.70589008374559,NA
NEON,Talladega National Forest,TALL,-87.39326999999997,32.95046000000008,NA,NA,228.3554913688354,85.784576416015625,NA,125.90326690673825,NA
NEON,Woodworth,WOOD,-99.24135599999994,47.12822800000004,NA,NA,4.161301533816176,9.719982071400445,NA,0,NA
NEON,Central Plains Experimental Range,CPER,-104.745602469,40.81553413400008,NA,0,1.2686890065322318,9.621728304071983,NA,0,0
NEON,LBJ National Grassland,CLBJ,-97.56999999999994,33.40123000000006,NA,NA,17.868777801463494,11.764260292053223,NA,3.6895515918731707,NA
NEON,Yellowstone Northern Range (Frog Rock),YELL,-110.53914,44.95348000000007,7.984610350218362,NA,37.20221154716159,59.85466003417969,NA,36.563770294189425,79.86768341064453
NEON,Niwot Ridge Mountain Research Station,NIWO,-105.58237,40.05425000000003,NA,7.325276756761507,18.36632388367807,76.3296890258789,NA,76.99402618408205,108.78213500976562
NEON,Santa Rita Experimental Range,SRER,-110.83549,31.91068000000007,0,0,1.5765244662432194,11.92995548248291,0.1787477273160833,1.5605182647705091,12.60093879699707
NEON,Onaqui,ONAQ,-112.45244,40.17759000000007,0,0,1.5952767515412853,9.84560489654541,NA,7.78439426422119,8.735177040100098
NEON,Wind River Experimental Forest,WREF,-121.951912,45.82048800000007,244.42905363742184,NA,357.71412590536136,194.78326416015625,NA,320.59512329101574,819.68206787109375
NEON,San Joaquin,SJER,-119.73228,37.10878000000002,1.6218796749661994,12.911922508554921,28.62540995412152,27.249465942382812,28.97867056642402,6.710339065870314,66.29370653246828
NEON,Toolik Lake,TOOL,-149.37047,68.66109000000006,NA,NA,NA,NA,NA,NA,NA
NEON,Caribou-Poker Creeks Research Watershed,BONA,-147.50258,65.15401000000003,NA,NA,NA,NA,NA,NA,NA
NEON,Caribou-Poker Creeks Research Watershed,BONA,-147.50258,65.15401000000003,NA,NA,NA,NA,NA,NA,NA
NEON,Pu'u Maka'ala Natural Area Reserve,PUUM,-155.31731,19.55309000000005,NA,NA,NA,NA,NA,NA,NA
Ameriflux,ARM-SGP Medford hay pasture,US-A32,-97.8198,36.8193,NA,NA,1.5125311333228766,9.241511344909668,NA,0.04930311441421507,NA
Ameriflux,ARM-SGP-Morrison,US-A39,-96.069,36.3776,NA,NA,58.81318761359901,11.235669136047363,NA,16.385580901893892,NA
Ameriflux,ARM SGP milo field,US-A74,-97.5489,36.8085,NA,NA,1.8447977391983037,9.952825546264648,NA,0.7866505980491632,NA
Ameriflux,Arkansas Grassland,US-AaG,-91.6282,33.1105,NA,NA,34.45238378430261,70.458831787109375,NA,23.470457077026364,NA
Ameriflux,Acton Lake Flux Tower Site,US-Act,-84.755,39.582,NA,NA,130.83259406696254,16.741094865114533,NA,28.85890197568609,NA
Ameriflux,Amargosa Desert Research Site (ADRS),US-ADR,-116.6933,36.7653,0,0,0.015657345226068667,8.858436584472656,0,0,2.35007744234559
Ameriflux,MPG - Apricot Lane Farms,US-AF1,-118.9244,34.3108,6.1133705767343685,2.9805592163766943,25.413224114064445,16.068876266479492,38.27850288108922,0,57.357391357421875
Ameriflux,Savannah River Site,US-Akn,-81.5653,33.3825,NA,NA,130.94284057617188,49.52075958251953,NA,129.59916645325686,NA
Ameriflux,Allequash Creek Site,US-ALQ,-89.6067,46.0308,NA,NA,122.05219606799868,139.33177185058594,NA,59.995025634765646,NA
Ameriflux,Argonne Testbed for Multiscale Observational Science (ATMOS),US-AMS,-87.9963,41.7018,NA,NA,66.46163309933095,48.45542396854878,NA,15.054048543236954,NA
Ameriflux,Low Density Apple Orchard,US-AoL,-85.7648,43.2513,NA,NA,50.77234176381435,47.64736246010457,NA,77.04673799958326,NA
Ameriflux,ARM USDA UNL OSU Woodward Switchgrass 1,US-AR1,-99.42,36.4267,NA,0.574486194209488,4.391789575366253,11.363643646240234,NA,0,NA
Ameriflux,ARM USDA UNL OSU Woodward Switchgrass 2,US-AR2,-99.5975,36.6358,NA,0,3.992512897600917,10.82253360748291,NA,1.5844595160101755,NA
Ameriflux,ARM Southern Great Plains burn site- Lamont,US-ARb,-98.0402,35.5497,NA,NA,2.504121439612042,10.082136154174805,NA,3.2476708889007586,NA
Ameriflux,ARM Southern Great Plains control site- Lamont,US-ARc,-98.04,35.5465,NA,NA,2.3917433204697307,10.082136154174805,NA,3.246173512117066,NA
Ameriflux,ARM Southern Great Plains site- Lamont,US-ARM,-97.4888,36.6058,NA,NA,1.7270547478739995,10.06735347431817,NA,0.7866505980491638,NA
Ameriflux,USSL San Joaquin Valley Almond High Salinity,US-ASH,-120.201,36.1697,12.410898002068267,0.3404599910695453,10.832120640385316,20.506656646728516,14.846988566617332,0,3.743101442697547
Ameriflux,USSL San Joaquin Valley Almond Low Salinity,US-ASL,-120.1024,36.9466,0.4365597322568594,0.259769451119015,3.8137591107965987,18.284780502319336,1.0596516618163316,0,17.71551386570074
Ameriflux,USSL San Joaquin Valley Almond Medium Salinity,US-ASM,-120.2026,36.1777,10.094355396587813,0.13116530056868245,10.563396059246983,20.506656646728516,14.78150331461064,0,2.9871692761996322
Ameriflux,Audubon Research Ranch,US-Aud,-110.5104,31.5907,0.002612068602879875,0.2325263280633322,3.737837236801375,18.604071367431708,9.426646236327812,5.682248592376708,24.773749114812176
Ameriflux,Bartlett Experimental Forest,US-Bar,-71.2881,44.0646,NA,NA,183.51242259723037,97.69615173339842,NA,151.9769744873047,NA
Ameriflux,Blue Cypress Marsh,US-BCM,-80.7114,27.6953,NA,NA,11.48713563429492,37.724578857421875,NA,1.0196605920791622,NA
Ameriflux,Burdette Farm Rice Field - 4N,US-Bd4,-89.9862,35.8139,NA,NA,13.425038811907008,9.452239036560059,NA,11.086597442626955,NA
Ameriflux,Burdette Farm Rice Field - Seagraves South,US-Bd5,-90.0194,35.8105,NA,NA,12.651954820768728,47.35218811035156,NA,11.086597442626955,NA
Ameriflux,Burdette Farm Rice - Seagraves North,US-Bd6,-90.0194,35.814,NA,NA,12.141902486758799,47.35218811035156,NA,11.086597442626951,NA
Ameriflux,Burdette Farm Rice Field - AWD,US-BdA,-90.0327,35.8089,NA,NA,11.496728060643207,47.35218811035156,NA,11.086597442626958,NA
Ameriflux,Burdette Farm Rice Field - conventional,US-BdC,-90.0284,35.8089,NA,NA,11.67337946928838,47.35218811035156,NA,11.086597442626953,NA
Ameriflux,Big Chico Creek,US-BgC,-121.8135,39.8125,0.5690636204324089,0.26462962771664045,23.419045725615458,11.795332908630373,5.986332726422146,100.68688417216305,98.43888854980469
Ameriflux,Bouldin Island Alfalfa,US-Bi1,-121.4993,38.0992,0.8822480812877898,0.04835866770943248,3.319234930838251,12.444383309108819,4.36470448110822,0,25.74139635202284
Ameriflux,Bouldin Island corn,US-Bi2,-121.5351,38.1091,0.5021347946289223,0,2.7002217297303686,12.504311561584473,1.513060153545499,0,3.369460320181263
Ameriflux,Brookings,US-Bkg,-96.8362,44.3453,NA,NA,5.383610052387863,10.414169311523438,NA,0,NA
